"Part";"Value";"Device";"Package";"Description";"0C_FARNELL";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OPTION";
"C1";"470n";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";"";"1457660";"";"";
"C2";"1u";"CAPPTH1";"CAP-PTH-5MM";"Capacitor";"";"";"";"2112910";"";"";
"C3";"100n";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";"";"1216438";"";"";
"C4";"100nF 50V";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";"";"";"1216438";"";"";
"C5";"10u";"CPOL-EUE2.5-7";"E2,5-7";"POLARIZED CAPACITOR, European symbol";"";"";"";"1236657";"";"";
"C6";"470n";"CAPPTH";"CAP-PTH-SMALL";"Capacitor";"";"";"";"1457660";"";"";
"D1";"BAT85";"DIODE-SCHOTTKY";"DIODE-TH-0.4";"";"";"";"";"1612329";"";"";
"D2";"BAT85";"DIODE-SCHOTTKY";"DIODE-TH-0.4";"";"";"";"";"1612329";"";"";
"D3";"BAT85";"DIODE-SCHOTTKY";"DIODE-TH-0.4";"";"";"";"";"1612329";"";"";
"D4";"BAT85";"DIODE-SCHOTTKY";"DIODE-TH-0.4";"";"";"";"";"1612329";"";"";
"D5";"BAT85";"DIODE-SCHOTTKY";"DIODE-TH-0.4";"";"";"";"";"1612329";"";"";
"D6";"BAT85";"DIODE-SCHOTTKY";"DIODE-TH-0.4";"";"";"";"";"1612329";"";"";
"F1";"PTCPTH";"PTCPTH";"PTC";"Resettable Fuse PTC";"";"";"";"1175860";"";"";
"IC1";"MCP2200";"MCP2200";"SO20";"MCP2200 Microchip USB-UART interface.";"";"";"";"1781148";"";"";
"IC2";"MEGA48/88/168-PU";"MEGA48/88/168-PU";"DIL28-3";"";"";"";"";"1715487";"";"";
"J1";"1503_12";"1503_12";"1503_12";"";"";"";"";"1340604";"";"";
"J2";"1503_12";"1503_12";"1503_12";"";"";"";"";"1340604";"";"";
"J3";"1503_12";"1503_12";"1503_12";"";"";"";"";"1340604";"";"";
"J4";"1503_12";"1503_12";"1503_12";"";"";"";"";"1340604";"";"";
"JP1";"Power from USB";"JP1E";"JP1";"JUMPER";"";"";"";"";"";"";
"JP2";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";"";"1248132";"";"";
"QF1";"10M8B";"10M8B";"HC49U";"Monolithic Crystal Filters";"";"";"";"1448129";"unknown";"";
"R1";"10k";"RESISTOR";"RES-AXIAL-0.4";"1/4W PTH resistor";"";"";"";"";"";"";
"R2";"1k";"RESISTOR";"RES-AXIAL-0.4";"1/4W PTH resistor";"";"";"";"";"";"";
"R3";"1K";"RESISTOR";"RES-AXIAL-0.4";"1/4W PTH resistor";"";"";"";"";"";"";
"R4";"1K";"RESISTOR";"RES-AXIAL-0.4";"1/4W PTH resistor";"";"";"";"";"";"";
"R5";"1K";"RESISTOR";"RES-AXIAL-0.4";"1/4W PTH resistor";"";"";"";"";"";"";
"R6";"499K";"RESISTOR";"RES-AXIAL-0.4";"1/4W PTH resistor";"";"";"";"";"";"";
"R7";"3.9K";"RESISTOR";"RES-AXIAL-0.4";"1/4W PTH resistor";"";"";"";"";"";"";
"U$1";"POTENTIOMETER";"POTENTIOMETER";"POTENTIOMETER";"";"";"";"";"1227586";"";"";
"U$2";"POTENTIOMETER";"POTENTIOMETER";"POTENTIOMETER";"";"";"";"";"1227586";"";"";
"U1";"POWER";"POWER";"POWER_16";"";"";"";"";"";"";"";
"X1";"USB";"USBPTH";"USB-B-PTH";"USB Connectors";"1308876";"";"";"";"";"";
"Y1";"12MHz";"CRYSTAL-RESONATOR";"HC49U-V-RESONATOR";"Crystal/resonator";"";"";"";"1448128";"";"Crystal or ceramic resonator. Max 12MHz for 3V3 operation.";
