Part;Value;Package;Description;OC_FARNELL
C1;470n;CAP-PTH-SMALL;Capacitor;1457660
C2;1u;CAP-PTH-5MM;Capacitor;2112910
C3;100n;CAP-PTH-SMALL;Capacitor;1216438
C4;100nF 50V;C025-025X050;CAPACITOR, European symbol;1216438
C5;10u;E2,5-7;POLARIZED CAPACITOR, European symbol;1236657
C6;4.7n;CAP-PTH-SMALL;Capacitor;1694144
D1;BAT85;DIODE-TH-0.4;;1612329
D2;BAT85;DIODE-TH-0.4;;1612329
D3;BAT85;DIODE-TH-0.4;;1612329
D4;BAT85;DIODE-TH-0.4;;1612329
D5;BAT85;DIODE-TH-0.4;;1612329
D6;BAT85;DIODE-TH-0.4;;1612329
F1;PTCPTH;PTC;Resettable Fuse PTC;1175860
IC1;MCP2200;SO20;MCP2200 Microchip USB-UART interface.;1781148
IC2;MEGA48/88/168-PU;DIL28-3;;1715487
J1;1503_12;1503_12;;1340604
J2;1503_12;1503_12;;1340604
J3;1503_12;1503_12;;1340604
J4;1503_12;1503_12;;1340604
JP1;Power from USB;JP1;JUMPER;
JP2;AVR_SPI_PRG_6PTH;2X3;AVR ISP 6 Pin;1248132
QF1;10M8B;HC49U;Monolithic Crystal Filters;1448129
R1;10k;RES-AXIAL-0.4;1/4W PTH resistor;2329474
R2;1k;RES-AXIAL-0.4;1/4W PTH resistor;1700237
R3;1K;RES-AXIAL-0.4;1/4W PTH resistor;1700237
R4;1K;RES-AXIAL-0.4;1/4W PTH resistor;1700237
R5;1K;RES-AXIAL-0.4;1/4W PTH resistor;1700237
R6;499K;RES-AXIAL-0.4;1/4W PTH resistor;1083547
R7;3.9K;RES-AXIAL-0.4;1/4W PTH resistor;2401768
U$1;POTENTIOMETER;POTENTIOMETER;;1227586
U$2;POTENTIOMETER;POTENTIOMETER;;1227586
U1;POWER;POWER_16;;3418510
X1;USB;USB-B-PTH;USB Connectors;1308876
Y1;12MHz;HC49U-V-RESONATOR;Crystal/resonator;1448128
